#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;heading smoothing strategy;orientation smoothing strategy
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204955.362;20180608-204949.271;37.78913;-122.401016;65;54.2;239.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204956.362;20180608-204955.778;37.7889671;-122.40062;65;62.9;219.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204957.362;20180608-204955.778;37.7889671;-122.40062;65;78;198.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-204958.363;20180608-204955.778;37.7889671;-122.40062;65;93.8;186.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180608-204959.365;20180608-204959.146;37.7888565;-122.400391;65;108.7;188.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-205000.366;20180608-204959.146;37.7888565;-122.400391;65;113.8;200.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-205001.365;20180608-204959.146;37.7888565;-122.400391;65;114.6;216.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-205002.365;20180608-204959.146;37.7888565;-122.400391;65;115.5;236.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-205003.365;20180608-204959.146;37.7888565;-122.400391;65;115.8;279.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180608-205004.366;20180608-204959.146;37.7888565;-122.400391;65;115.8;359.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
